State,District,pH Level,Nitrogen (N) - ppm,Phosphorus (P) - ppm,Potassium (K) - ppm,Average Temperature (°c),Annual Rainfall (mm),Humidity (%)
Karnataka,Karnataka District,6.54,253,36,232,31.4,741,74
Chhattisgarh,Chhattisgarh District,7.24,360,35,272,27,1325,74
Bihar,Bihar District,6.81,281,18,255,21,100,76
Kerala,Kerala District,6.43,192,26,374,25.1,1125,71
Haryana,Haryana District,7.54,234,22,253,27.6,1191,35
Rajasthan,Rajasthan District,8.33,145,10,176,25.3,347,37
Goa,Goa District,7.17,385,24,290,27.3,865,44
Arunachal Pradesh,Arunachal District,6.12,386,28,297,26.1,1359,92
Jammu and Kashmir,Jammu District,6.78,138,29,330,11.3,573,58
Puducherry,Puducherry District,6.19,219,30,348,21.4,375,42
Odisha,Odisha District,7.56,330,18,457,25.2,1166,91
Madhya Pradesh,Madhya District,6.85,193,23,313,27.1,1219,91
Telangana,Telangana District,5.88,302,26,289,25.5,1115,84
Andhra Pradesh,Andhra District,6.18,156,33,324,30.1,1049,60
Ladakh,Ladakh District,6.69,290,20,317,22.8,998,79
Tamil Nadu,Tamil District,6.94,170,38,450,24.4,993,73
Himachal Pradesh,Himachal District,6.25,221,35,268,6.6,1593,69
Meghalaya,Meghalaya District,5.95,355,29,267,20.6,1856,71
Gujarat,Gujarat District,7.91,149,11,173,27.7,558,33
Nagaland,Nagaland District,5.98,298,39,406,17.5,1685,79
West Bengal,West District,7.37,181,26,336,27.6,678,66
Assam,Assam District,5.49,211,37,338,19.7,910,82
Uttar Pradesh,Uttar District,7.39,217,15,120,26.9,0,69
Sikkim,Sikkim District,5.46,192,16,323,18.3,2233,73
Manipur,Manipur District,6.27,310,43,452,15,2540,71
Maharashtra,Maharashtra District,7.4,79,36,304,18.7,737,100
Tripura,Tripura District,5.94,321,48,481,13.2,2131,74
Uttarakhand,Uttarakhand District,7.09,222,24,288,7.8,2657,40
Punjab,Punjab District,7.35,162,19,284,20.9,589,81
Jharkhand,Jharkhand District,7.26,231,38,200,29.1,612,45
